,adobe-source-code-pro-fonts,"font for term"
,arandr,
,arc-gtk-theme,
,aria2,"download anything"
,aspell,
,aspell-en,
,atool,
,calcurse,
,clang,"c compiler"
,clipmenu,
,ctags,
,dash,"fast sh replacment"
,dosfstools,
,dunst,
,entr,"used for autocompilation"
,exfat-utils,
,ffmpeg,
,fish,
,fzf,
,gcalcli,"google calender for cli"
,gdb,"fixes issued with surf"
,gnome-keyring,
,gtk-engine-murrine,"gtk engine needed"
,highlight,
,imagemagick,
,imv,"image viewer for X and Way"
,kdeconnect,
,libnotify,
,mediainfo,
,mpv,
,ncmpcpp,
,neovim,
,nerd-fonts-terminus,"used for ranger"
,networkmanager,
,networkmanager-dmenu,
,newsboat,
,notmuch,"email searching"
,ntfs-3g,
,nvim,
,pandoc,"reformat file formats"
,pass,
,poppler,
,pulseaudio-alsa,
,pulsemixer,
,qrencode,"QR code generator"
,qt5-tools,
,ranger,
,redshift,
,socat,
,texlive-most,"latex installation"
,the_silver_searcher,
,timeshift,
,tmux,
,transmission-cli,"for torrenting backend"
,trash-cli,
,ttf-dejavu,"font used in dwm an dmenu"
,ttf-inconsolata,
,ttf-linux-libertine,
,unrar,
,unzip,
,w3m,
,words,"used as a general purpose dictionary"
,xcape,
,xclip,
,xdotool,
,xdotool,
,xorg-server,
,xorg-xbacklight,
,xorg-xdpyinfo,
,xorg-xinit,
,xorg-xprop,
,xorg-xwininfo,
,xournalpp,"handwriting Notetaking software"
,xssstate,
,xwallpaper,"wallpaper setter"
,yay,
,youtube-dl, 
,zathura,
,zathura-pdf-mupdf,
,zathura-pdf-mupdf,
,zathura-ps,
,rsync,
,yay,
A,bitwise,"bitwise calculator for the terminal"
A,flashfocus,
A,google-chrome,"google calender for cli"
A,grabc,
A,htop-vim-git,
A,mutt-wizard-git,
A,picom-git,"compositor forked from compton"
A,simple-mtpfs,
A,spotify,
A,stig,for visual interfacing with torrents
A,surf-git,"used for surf dependancies"
A,svox-pico-bin,"used for pico2wave (text to speech)"
A,task-spooler,
A,ttf-emojione,
A,ttf-symbola,
A,unclutter-xfixes-git,
A,urlscan,
G,http://porkepik.fr/sct,"alternative to redshift"
G,http://porkepik.fr/setxbg,"simple backgroung setter"
G,https://github.com/Gavinok/Gsurfing.git,"fork of surf"
G,https://github.com/Gavinok/dmenu.git,"fork of dmenu"
G,https://github.com/Gavinok/dwm.git,"fork of dwm"
G,https://github.com/Gavinok/st.git,"is my custom build of suckless's terminal emulator."
